Metadata_Source,Metadata_Plate,Metadata_Well,Metadata_JCP2022,Metadata_PlateType,Metadata_MoA
source_1,UL000087,A02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,A04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,A45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,A47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,AA02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,AA04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,AA45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,AA47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,AB02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,AB04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,AB45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,AB47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,AC02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,AC04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,AC45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,AC47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,AD02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,AD04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,AD45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,AD47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,AE02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,AE04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,AE45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,AE47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,AF02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,AF04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,AF45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,AF47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,B02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,B04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,B45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,B47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,C02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,C04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,C45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,C47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,D02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,D04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,D45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,D47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,E02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,E04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,E45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,E47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,F02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,F04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,F45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,F47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,G02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,G04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,G45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,G47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,H02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,H04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,H45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,H47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,I02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,I04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,I45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,I47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,J02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,J04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,J45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,J47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,K02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,K04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,K45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,K47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,L02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,L04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,L45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,L47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,M02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,M04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,M45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,M47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,N02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,N04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,N45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,N47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,O02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,O04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,O45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,O47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,P02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,P04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,P45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,P47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,Q02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,Q04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,Q45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,Q47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,R02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,R04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,R45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,R47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,S02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,S04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,S45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,S47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,T02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,T04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,T45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,T47,JCP2022_033924,COMPOUND,negative_control
