,Metadata_Source,Metadata_Plate,Metadata_Well,Metadata_JCP2022,Metadata_PlateType,Metadata_MoA
0,source_1,UL000087,C20,JCP2022_095979,COMPOUND,mucus protecting agent
1,source_1,UL000087,I26,JCP2022_022263,COMPOUND,glycine transporter inhibitor
2,source_1,UL000577,A08,JCP2022_011917,COMPOUND,cyclooxygenase inhibitor
3,source_1,UL000577,AA31,JCP2022_031320,COMPOUND,histamine receptor antagonist
4,source_1,UL000577,AC08,JCP2022_109671,COMPOUND,sigma receptor agonist
5,source_1,UL000577,AE27,JCP2022_050338,COMPOUND,dehydrogenase inhibitor
6,source_1,UL000577,F31,JCP2022_055852,COMPOUND,bacterial antifolate
7,source_1,UL000577,I11,JCP2022_060393,COMPOUND,dopamine receptor antagonist
8,source_1,UL000577,I25,JCP2022_102565,COMPOUND,topoisomerase inhibitor
9,source_1,UL000577,M17,JCP2022_052832,COMPOUND,local anesthetic
10,source_1,UL000577,N23,JCP2022_057163,COMPOUND,cyclooxygenase inhibitor
11,source_1,UL000577,O39,JCP2022_068699,COMPOUND,purinergic receptor antagonist
12,source_1,UL000577,P05,JCP2022_033532,COMPOUND,cyclooxygenase inhibitor
13,source_1,UL000577,T41,JCP2022_020639,COMPOUND,bacterial DNA gyrase inhibitor
14,source_1,UL000577,X17,JCP2022_022963,COMPOUND,sodium channel blocker
15,source_1,UL000579,AC09,JCP2022_084264,COMPOUND,histamine receptor antagonist
16,source_1,UL000579,AE44,JCP2022_032702,COMPOUND,prostanoid receptor antagonist
17,source_1,UL000579,B41,JCP2022_091909,COMPOUND,sodium channel blocker
18,source_1,UL000579,E16,JCP2022_031858,COMPOUND,local anesthetic
19,source_1,UL000579,F05,JCP2022_095424,COMPOUND,fungal squalene epoxidase inhibitor
20,source_1,UL000579,F13,JCP2022_040599,COMPOUND,ATP channel blocker
21,source_1,UL000579,F21,JCP2022_097466,COMPOUND,HDAC inhibitor
22,source_1,UL000579,H14,JCP2022_077927,COMPOUND,phosphodiesterase inhibitor
23,source_1,UL000579,H26,JCP2022_027497,COMPOUND,PDGFR tyrosine kinase receptor inhibitor
24,source_1,UL000579,K07,JCP2022_033540,COMPOUND,cyclooxygenase inhibitor
25,source_1,UL000579,L18,JCP2022_083818,COMPOUND,PABA antagonist
26,source_1,UL000579,N29,JCP2022_105904,COMPOUND,dopamine receptor antagonist
27,source_1,UL000579,O08,JCP2022_065007,COMPOUND,cyclooxygenase inhibitor
28,source_1,UL000579,P14,JCP2022_099906,COMPOUND,renal function diagnostic agent
29,source_1,UL000579,R09,JCP2022_035200,COMPOUND,PPAR receptor agonist
30,source_1,UL000579,T14,JCP2022_092627,COMPOUND,bacterial antifolate
31,source_1,UL000579,X22,JCP2022_114793,COMPOUND,muscle relaxant
32,source_1,UL000579,Z17,JCP2022_116680,COMPOUND,dihydropteroate synthetase inhibitor
33,source_1,UL000581,AB12,JCP2022_103094,COMPOUND,antibacterial agent
34,source_1,UL000581,AD42,JCP2022_008513,COMPOUND,monoamine oxidase inhibitor
35,source_1,UL000581,AE14,JCP2022_089383,COMPOUND,calcium channel blocker
36,source_1,UL000581,AF07,JCP2022_053711,COMPOUND,topical sunscreen agent
37,source_1,UL000581,C22,JCP2022_023097,COMPOUND,fungal squalene epoxidase inhibitor
38,source_1,UL000581,D16,JCP2022_091841,COMPOUND,histamine receptor modulator
39,source_1,UL000581,D19,JCP2022_113779,COMPOUND,leukotriene receptor antagonist|phosphodiesterase inhibitor
40,source_1,UL000581,E27,JCP2022_070801,COMPOUND,adrenergic receptor agonist
41,source_1,UL000581,G14,JCP2022_044671,COMPOUND,laxative
42,source_1,UL000581,G22,JCP2022_025924,COMPOUND,endothelin receptor antagonist
43,source_1,UL000581,I39,JCP2022_098974,COMPOUND,dopamine receptor antagonist
44,source_1,UL000581,K22,JCP2022_096209,COMPOUND,angiotensin receptor antagonist
45,source_1,UL000581,L31,JCP2022_034184,COMPOUND,histamine receptor antagonist
46,source_1,UL000581,O18,JCP2022_074916,COMPOUND,glycolysis inhibitor
47,source_1,UL000581,S10,JCP2022_030599,COMPOUND,antiprotozoal agent
48,source_1,UL000581,V42,JCP2022_075251,COMPOUND,dopamine receptor antagonist
49,source_1,UL000581,W12,JCP2022_108027,COMPOUND,cyclooxygenase inhibitor|prostanoid receptor antagonist
50,source_1,UL000581,Z42,JCP2022_026003,COMPOUND,membrane integrity inhibitor
51,source_1,UL000583,A29,JCP2022_106594,COMPOUND,androgen receptor antagonist
52,source_1,UL000583,A32,JCP2022_012266,COMPOUND,adrenergic receptor agonist
53,source_1,UL000583,A33,JCP2022_008301,COMPOUND,analgesic agent
54,source_1,UL000583,A37,JCP2022_062893,COMPOUND,antiprotozoal agent
55,source_1,UL000583,AA38,JCP2022_029684,COMPOUND,lipoprotein lipase activator
56,source_1,UL000583,AC14,JCP2022_047835,COMPOUND,tubulin polymerization inhibitor
57,source_1,UL000583,AC18,JCP2022_018834,COMPOUND,adrenergic receptor agonist
58,source_1,UL000583,AC19,JCP2022_099101,COMPOUND,angiogenesis inhibitor
59,source_1,UL000583,AC20,JCP2022_099082,COMPOUND,adrenergic receptor agonist
60,source_1,UL000583,AC33,JCP2022_086204,COMPOUND,anthelmintic agent
61,source_1,UL000583,AD21,JCP2022_006006,COMPOUND,estrogenic hormone
62,source_1,UL000583,AE20,JCP2022_032522,COMPOUND,angiotensin receptor antagonist
63,source_1,UL000583,D19,JCP2022_003677,COMPOUND,phosphodiesterase inhibitor
64,source_1,UL000583,E26,JCP2022_073093,COMPOUND,DNA synthesis inhibitor
65,source_1,UL000583,F17,JCP2022_093901,COMPOUND,ATP channel blocker
66,source_1,UL000583,F21,JCP2022_093328,COMPOUND,topoisomerase inhibitor
67,source_1,UL000583,F33,JCP2022_069049,COMPOUND,dihydropteroate synthase inhibitor
68,source_1,UL000583,G29,JCP2022_070967,COMPOUND,sodium channel blocker
69,source_1,UL000583,G42,JCP2022_039932,COMPOUND,cyclooxygenase inhibitor
70,source_1,UL000583,H41,JCP2022_070623,COMPOUND,monoamine oxidase inhibitor
71,source_1,UL000583,I26,JCP2022_017478,COMPOUND,monoamine oxidase inhibitor
72,source_1,UL000583,J29,JCP2022_077738,COMPOUND,phosphofructokinase inhibitor
73,source_1,UL000583,K30,JCP2022_055273,COMPOUND,cyclooxygenase inhibitor
74,source_1,UL000583,M16,JCP2022_058565,COMPOUND,vitamin K antagonist
75,source_1,UL000583,M18,JCP2022_097171,COMPOUND,melanin inhibitor
76,source_1,UL000583,M22,JCP2022_059332,COMPOUND,bacterial DNA gyrase inhibitor
77,source_1,UL000583,M37,JCP2022_043713,COMPOUND,sodium channel blocker
78,source_1,UL000583,Q15,JCP2022_088857,COMPOUND,histamine receptor antagonist
79,source_1,UL000583,Q16,JCP2022_116723,COMPOUND,histamine receptor antagonist
80,source_1,UL000583,Q25,JCP2022_078143,COMPOUND,dopamine receptor antagonist
81,source_1,UL000583,R09,JCP2022_107322,COMPOUND,carbonic anhydrase inhibitor
82,source_1,UL000583,R26,JCP2022_110440,COMPOUND,tubulin polymerization inhibitor
83,source_1,UL000583,T11,JCP2022_013346,COMPOUND,sodium channel blocker
84,source_1,UL000583,U29,JCP2022_029407,COMPOUND,tricyclic antidepressant
85,source_1,UL000583,U30,JCP2022_089581,COMPOUND,glucocorticoid receptor agonist
86,source_1,UL000583,V05,JCP2022_102844,COMPOUND,dopamine receptor antagonist
87,source_1,UL000583,W44,JCP2022_060311,COMPOUND,monoamine oxidase inhibitor
88,source_1,UL000583,X29,JCP2022_098004,COMPOUND,opioid receptor antagonist
89,source_1,UL000583,Y19,JCP2022_114755,COMPOUND,cyclooxygenase inhibitor
90,source_1,UL000583,Y41,JCP2022_099777,COMPOUND,bacterial antifolate
91,source_1,UL000583,Z21,JCP2022_055262,COMPOUND,prostanoid receptor antagonist
92,source_1,UL000597,A39,JCP2022_077923,COMPOUND,antihistamine
93,source_1,UL000597,D33,JCP2022_027004,COMPOUND,dihydrofolate reductase inhibitor
